Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
8.31763771102669e+00	(9.32456268679090e+01dB,-3.44669845791013e+01°)
8.51138038202374e+00	(9.31805111601617e+01dB,-3.50868156424381e+01°)
8.70963589956078e+00	(9.31133571284184e+01dB,-3.57114786980671e+01°)
8.91250938133743e+00	(9.30441337137785e+01dB,-3.63407156127165e+01°)
9.12010839355907e+00	(9.29728113850341e+01dB,-3.69742575900322e+01°)
9.33254300796988e+00	(9.28993622456434e+01dB,-3.76118256213251e+01°)
9.54992586021433e+00	(9.28237601377127e+01dB,-3.82531309954248e+01°)
9.77237220955808e+00	(9.27459807406770e+01dB,-3.88978758589033e+01°)
9.99999999999997e+00	(9.26660016657016e+01dB,-3.95457538335812e+01°)
1.02329299228075e+01	(9.25838025429569e+01dB,-4.01964506780557e+01°)
1.04712854805090e+01	(9.24993651029302e+01dB,-4.08496449999681e+01°)
1.07151930523760e+01	(9.24126732503767e+01dB,-4.15050090117309e+01°)
1.09647819614318e+01	(9.23237131297079e+01dB,-4.21622093225682e+01°)
1.12201845430196e+01	(9.22324731819742e+01dB,-4.28209077660961e+01°)
1.14815362149688e+01	(9.21389441936095e+01dB,-4.34807622629895e+01°)
1.17489755493953e+01	(9.20431193342126e+01dB,-4.41414276995896e+01°)
1.20226443461741e+01	(9.19449941857701e+01dB,-4.48025568336985e+01°)
1.23026877081238e+01	(9.18445667613815e+01dB,-4.54638012114817e+01°)
1.25892541179416e+01	(9.17418375131447e+01dB,-4.61248120884469e+01°)
1.28824955169313e+01	(9.16368093309640e+01dB,-4.67852413604691e+01°)
1.31825673855640e+01	(9.15294875297083e+01dB,-4.74447424818640e+01°)
1.34896288259165e+01	(9.14198798269516e+01dB,-4.81029713785494e+01°)
1.38038426460288e+01	(9.13079963108409e+01dB,-4.87595873466255e+01°)
1.41253754462275e+01	(9.11938493974735e+01dB,-4.94142539236233e+01°)
1.44543977074592e+01	(9.10774537798840e+01dB,-5.00666397402398e+01°)
1.47910838816820e+01	(9.09588263672552e+01dB,-5.07164193332210e+01°)
1.51356124843620e+01	(9.08379862163718e+01dB,-5.13632739266536e+01°)
1.54881661891248e+01	(9.07149544552228e+01dB,-5.20068921718992e+01°)
1.58489319246111e+01	(9.05897541989074e+01dB,-5.26469708383395e+01°)
1.62181009735892e+01	(9.04624104600372e+01dB,-5.32832154642867e+01°)
1.65958690743755e+01	(9.03329500523900e+01dB,-5.39153409484153e+01°)
1.69824365246174e+01	(9.02014014903301e+01dB,-5.45430720948169e+01°)
1.73780082874937e+01	(9.00677948834617e+01dB,-5.51661440981917e+01°)
1.77827941003892e+01	(8.99321618284171e+01dB,-5.57843029784939e+01°)
1.81970085860998e+01	(8.97945352974408e+01dB,-5.63973059539003e+01°)
1.86208713666286e+01	(8.96549495252201e+01dB,-5.70049217580270e+01°)
1.90546071796324e+01	(8.95134398947646e+01dB,-5.76069309027564e+01°)
1.94984459975804e+01	(8.93700428226946e+01dB,-5.82031258836392e+01°)
1.99526231496887e+01	(8.92247956445880e+01dB,-5.87933113283793e+01°)
2.04173794466952e+01	(8.90777365017221e+01dB,-5.93773040974112e+01°)
2.08929613085403e+01	(8.89289042288390e+01dB,-5.99549333277577e+01°)
2.13796208950222e+01	(8.87783382442463e+01dB,-6.05260404307086e+01°)
2.18776162394954e+01	(8.86260784424841e+01dB,-6.10904790423788e+01°)
