Freq.	V(a)
Step Information: Cl=1µ  (Step: 1/2)
4.26579518801591e+03	(6.06836645420703e+01dB,1.75376832168244e+02°)
4.36515832240164e+03	(6.06829060848279e+01dB,1.75269317299193e+02°)
4.46683592150961e+03	(6.06821119859407e+01dB,1.75159310442555e+02°)
4.57088189614873e+03	(6.06812805760602e+01dB,1.75046754431123e+02°)
4.67735141287196e+03	(6.06804101067602e+01dB,1.74931590828961e+02°)
4.78630092322636e+03	(6.06794987502196e+01dB,1.74813759905144e+02°)
4.89778819368444e+03	(6.06785445918625e+01dB,1.74693200609570e+02°)
5.01187233627270e+03	(6.06775456294655e+01dB,1.74569850546207e+02°)
5.12861383991362e+03	(6.06764997664608e+01dB,1.74443645948108e+02°)
5.24807460249770e+03	(6.06754048098119e+01dB,1.74314521650456e+02°)
5.37031796370250e+03	(6.06742584653276e+01dB,1.74182411064262e+02°)
5.49540873857622e+03	(6.06730583315252e+01dB,1.74047246150379e+02°)
5.62341325190346e+03	(6.06718018962962e+01dB,1.73908957392205e+02°)
5.75439937337154e+03	(6.06704865301081e+01dB,1.73767473769544e+02°)
5.88843655355586e+03	(6.06691094842347e+01dB,1.73622722730177e+02°)
6.02559586074354e+03	(6.06676678808847e+01dB,1.73474630164681e+02°)
6.16595001861479e+03	(6.06661587100935e+01dB,1.73323120378274e+02°)
6.30957344480190e+03	(6.06645788234896e+01dB,1.73168116063846e+02°)
6.45654229034652e+03	(6.06629249275572e+01dB,1.73009538275180e+02°)
6.60693448007592e+03	(6.06611935775085e+01dB,1.72847306399877e+02°)
6.76082975391978e+03	(6.06593811701296e+01dB,1.72681338132765e+02°)
6.91830970918932e+03	(6.06574839360881e+01dB,1.72511549449670e+02°)
7.07945784384134e+03	(6.06554979353199e+01dB,1.72337854579729e+02°)
7.24435960074986e+03	(6.06534190447415e+01dB,1.72160165981773e+02°)
7.41310241300913e+03	(6.06512429560023e+01dB,1.71978394315757e+02°)
7.58577575029179e+03	(6.06489651610571e+01dB,1.71792448420895e+02°)
7.76247116628687e+03	(6.06465809487472e+01dB,1.71602235288269e+02°)
7.94328234724277e+03	(6.06440853925557e+01dB,1.71407660038671e+02°)
8.12830516164094e+03	(6.06414733422304e+01dB,1.71208625898862e+02°)
8.31763771102666e+03	(6.06387394136739e+01dB,1.71005034179431e+02°)
8.51138038202371e+03	(6.06358779809265e+01dB,1.70796784252041e+02°)
8.70963589956075e+03	(6.06328831620338e+01dB,1.70583773531239e+02°)
8.91250938133740e+03	(6.06297488106054e+01dB,1.70365897453720e+02°)
9.12010839355904e+03	(6.06264685043338e+01dB,1.70143049460430e+02°)
9.33254300796985e+03	(6.06230355314758e+01dB,1.69915120981240e+02°)
9.54992586021430e+03	(6.06194428807386e+01dB,1.69682001418632e+02°)
9.77237220955804e+03	(6.06156832278595e+01dB,1.69443578135006e+02°)
9.99999999999993e+03	(6.06117489217230e+01dB,1.69199736441950e+02°)
1.02329299228075e+04	(6.06076319712485e+01dB,1.68950359590747e+02°)
1.04712854805089e+04	(6.06033240326601e+01dB,1.68695328764416e+02°)
1.07151930523760e+04	(6.05988163915639e+01dB,1.68434523075839e+02°)
1.09647819614318e+04	(6.05940999513361e+01dB,1.68167819563376e+02°)
1.12201845430196e+04	(6.05891652158065e+01dB,1.67895093193351e+02°)
1.14815362149688e+04	(6.05840022727973e+01dB,1.67616216864707e+02°)
1.17489755493952e+04	(6.05786007789969e+01dB,1.67331061415477e+02°)
1.20226443461740e+04	(6.05729499413525e+01dB,1.67039495635385e+02°)
1.23026877081237e+04	(6.05670384996735e+01dB,1.66741386280970e+02°)
1.25892541179416e+04	(6.05608547110471e+01dB,1.66436598092716e+02°)
1.28824955169313e+04	(6.05543863263559e+01dB,1.66124993823422e+02°)
1.31825673855640e+04	(6.05476205739114e+01dB,1.65806434264566e+02°)
1.34896288259164e+04	(6.05405441410925e+01dB,1.65480778278950e+02°)
1.38038426460288e+04	(6.05331431500909e+01dB,1.65147882844181e+02°)
1.41253754462274e+04	(6.05254031421197e+01dB,1.64807603093212e+02°)
1.44543977074592e+04	(6.05173090521989e+01dB,1.64459792370003e+02°)
1.47910838816820e+04	(6.05088451885179e+01dB,1.64104302286863e+02°)
1.51356124843620e+04	(6.04999952122057e+01dB,1.63740982787733e+02°)
1.54881661891247e+04	(6.04907421127900e+01dB,1.63369682223075e+02°)
1.58489319246110e+04	(6.04810681856039e+01dB,1.62990247430204e+02°)
1.62181009735892e+04	(6.04709550098104e+01dB,1.62602523820681e+02°)
1.65958690743755e+04	(6.04603834234590e+01dB,1.62206355479502e+02°)
1.69824365246173e+04	(6.04493335007078e+01dB,1.61801585270616e+02°)
1.73780082874936e+04	(6.04377845277455e+01dB,1.61388054953288e+02°)
1.77827941003891e+04	(6.04257149776000e+01dB,1.60965605309792e+02°)
1.81970085860997e+04	(6.04131024875162e+01dB,1.60534076280222e+02°)
1.86208713666285e+04	(6.03999238331799e+01dB,1.60093307112285e+02°)
1.90546071796323e+04	(6.03861549050551e+01dB,1.59643136519891e+02°)
1.94984459975803e+04	(6.03717706861773e+01dB,1.59183402851593e+02°)
1.99526231496887e+04	(6.03567452256276e+01dB,1.58713944277635e+02°)
2.04173794466951e+04	(6.03410516154798e+01dB,1.58234598985496e+02°)
2.08929613085402e+04	(6.03246619703194e+01dB,1.57745205385107e+02°)
2.13796208950222e+04	(6.03075474015005e+01dB,1.57245602336170e+02°)
2.18776162394954e+04	(6.02896779982750e+01dB,1.56735629379905e+02°)
2.23872113856832e+04	(6.02710228028873e+01dB,1.56215126995559e+02°)
2.29086765276776e+04	(6.02515497962027e+01dB,1.55683936855879e+02°)
2.34422881531990e+04	(6.02312258750157e+01dB,1.55141902112138e+02°)
2.39883291901947e+04	(6.02100168339756e+01dB,1.54588867688716e+02°)
2.45470891568501e+04	(6.01878873520034e+01dB,1.54024680587017e+02°)
2.51188643150956e+04	(6.01648009772882e+01dB,1.53449190209083e+02°)
2.57039578276884e+04	(6.01407201134251e+01dB,1.52862248697189e+02°)
2.63026799189536e+04	(6.01156060086333e+01dB,1.52263711286095e+02°)
2.69153480392689e+04	(6.00894187494835e+01dB,1.51653436664908e+02°)
2.75422870333814e+04	(6.00621172535828e+01dB,1.51031287359143e+02°)
2.81838293126443e+04	(6.00336592650370e+01dB,1.50397130126054e+02°)
2.88403150312658e+04	(6.00040013568528e+01dB,1.49750836354236e+02°)
2.95120922666636e+04	(5.99730989310469e+01dB,1.49092282485871e+02°)
3.01995172040199e+04	(5.99409062239906e+01dB,1.48421350446271e+02°)
3.09029543251357e+04	(5.99073763198243e+01dB,1.47737928073118e+02°)
3.16227766016835e+04	(5.98724611579200e+01dB,1.47041909575571e+02°)
3.23593656929626e+04	(5.98361115538794e+01dB,1.46333195979603e+02°)
3.31131121482588e+04	(5.97982772181409e+01dB,1.45611695593679e+02°)
3.38844156139200e+04	(5.97589067832914e+01dB,1.44877324468456e+02°)
3.46736850452529e+04	(5.97179478318436e+01dB,1.44130006868280e+02°)
3.54813389233573e+04	(5.96753469321132e+01dB,1.43369675734710e+02°)
3.63078054770098e+04	(5.96310496753300e+01dB,1.42596273157035e+02°)
3.71535229097169e+04	(5.95850007204029e+01dB,1.41809750831870e+02°)
3.80189396320558e+04	(5.95371438437625e+01dB,1.41010070515616e+02°)
3.89045144994277e+04	(5.94874219911764e+01dB,1.40197204476107e+02°)
3.98107170553494e+04	(5.94357773371027e+01dB,1.39371135926035e+02°)
4.07380277804109e+04	(5.93821513486562e+01dB,1.38531859442966e+02°)
4.16869383470332e+04	(5.93264848531242e+01dB,1.37679381376333e+02°)
4.26579518801589e+04	(5.92687181115398e+01dB,1.36813720231163e+02°)
4.36515832240162e+04	(5.92087908974156e+01dB,1.35934907027584e+02°)
4.46683592150959e+04	(5.91466425774138e+01dB,1.35042985642788e+02°)
4.57088189614871e+04	(5.90822122000272e+01dB,1.34138013113256e+02°)
4.67735141287194e+04	(5.90154385845081e+01dB,1.33220059917871e+02°)
4.78630092322634e+04	(5.89462604168544e+01dB,1.32289210216770e+02°)
4.89778819368442e+04	(5.88746163443093e+01dB,1.31345562070582e+02°)
5.01187233627268e+04	(5.88004450791150e+01dB,1.30389227600286e+02°)
5.12861383991360e+04	(5.87236855002204e+01dB,1.29420333122276e+02°)
5.24807460249768e+04	(5.86442767575139e+01dB,1.28439019240390e+02°)
5.37031796370248e+04	(5.85621583798692e+01dB,1.27445440886308e+02°)
5.49540873857620e+04	(5.84772703797626e+01dB,1.26439767332256e+02°)
5.62341325190344e+04	(5.83895533637392e+01dB,1.25422182138400e+02°)
5.75439937337152e+04	(5.82989486386025e+01dB,1.24392883070523e+02°)
5.88843655355584e+04	(5.82053983182310e+01dB,1.23352081967552e+02°)
6.02559586074352e+04	(5.81088454288509e+01dB,1.22300004565331e+02°)
6.16595001861477e+04	(5.80092340126505e+01dB,1.21236890275781e+02°)
6.30957344480187e+04	(5.79065092282001e+01dB,1.20162991926788e+02°)
6.45654229034650e+04	(5.78006174488873e+01dB,1.19078575457224e+02°)
6.60693448007590e+04	(5.76915063575247e+01dB,1.17983919574669e+02°)
6.76082975391975e+04	(5.75791250349324e+01dB,1.16879315386750e+02°)
6.91830970918930e+04	(5.74634240481282e+01dB,1.15765065980997e+02°)
7.07945784384131e+04	(5.73443555305910e+01dB,1.14641485989033e+02°)
7.24435960074983e+04	(5.72218732567494e+01dB,1.13508901128148e+02°)
7.41310241300911e+04	(5.70959327149844e+01dB,1.12367647701037e+02°)
7.58577575029177e+04	(5.69664911715981e+01dB,1.11218072093326e+02°)
7.76247116628685e+04	(5.68335077298197e+01dB,1.10060530252803e+02°)
7.94328234724274e+04	(5.66969433856676e+01dB,1.08895387143395e+02°)
8.12830516164092e+04	(5.65567610748950e+01dB,1.07723016208262e+02°)
8.31763771102663e+04	(5.64129257152893e+01dB,1.06543798824212e+02°)
8.51138038202369e+04	(5.62654042462930e+01dB,1.05358123739651e+02°)
8.70963589956073e+04	(5.61141656589776e+01dB,1.04166386539895e+02°)
8.91250938133737e+04	(5.59591810259723e+01dB,1.02968989089647e+02°)
9.12010839355901e+04	(5.58004235234529e+01dB,1.01766339002123e+02°)
9.33254300796982e+04	(5.56378684500466e+01dB,1.00558849111287e+02°)
9.54992586021427e+04	(5.54714932432250e+01dB,9.93469369467911e+01°)
9.77237220955802e+04	(5.53012774904459e+01dB,9.81310242323932e+01°)
9.99999999999991e+04	(5.51272029387529e+01dB,9.69115363880688e+01°)
1.02329299228074e+05	(5.49492535021092e+01dB,9.56889020427488e+01°)
1.04712854805089e+05	(5.47674152643986e+01dB,9.44635525742743e+01°)
1.07151930523760e+05	(5.45816764839465e+01dB,9.32359216390954e+01°)
1.09647819614317e+05	(5.43920275940213e+01dB,9.20064447302604e+01°)
1.12201845430195e+05	(5.41984612047417e+01dB,9.07755587268016e+01°)
1.14815362149687e+05	(5.40009721007107e+01dB,8.95437014752761e+01°)
1.17489755493952e+05	(5.37995572410859e+01dB,8.83113113545350e+01°)
1.20226443461740e+05	(5.35942157583904e+01dB,8.70788268486426e+01°)
1.23026877081237e+05	(5.33849489548587e+01dB,8.58466861367308e+01°)
1.25892541179416e+05	(5.31717603018156e+01dB,8.46153266544299e+01°)
1.28824955169312e+05	(5.29546554345033e+01dB,8.33851846839805e+01°)
1.31825673855639e+05	(5.27336421500537e+01dB,8.21566949083024e+01°)
1.34896288259164e+05	(5.25087304007634e+01dB,8.09302899896595e+01°)
1.38038426460287e+05	(5.22799322897007e+01dB,7.97064001108174e+01°)
1.41253754462274e+05	(5.20472620619932e+01dB,7.84854525310516e+01°)
1.44543977074591e+05	(5.18107360961628e+01dB,7.72678711158631e+01°)
1.47910838816819e+05	(5.15703728925211e+01dB,7.60540758623364e+01°)
1.51356124843619e+05	(5.13261930584781e+01dB,7.48444824187271e+01°)
1.54881661891247e+05	(5.10782192918315e+01dB,7.36395015846545e+01°)
1.58489319246110e+05	(5.08264763598601e+01dB,7.24395388094198e+01°)
1.62181009735891e+05	(5.05709910753775e+01dB,7.12449936747917e+01°)
1.65958690743754e+05	(5.03117922676961e+01dB,7.00562593806676e+01°)
1.69824365246173e+05	(5.00489107493004e+01dB,6.88737222246908e+01°)
1.73780082874936e+05	(4.97823792784256e+01dB,6.76977610728178e+01°)
1.77827941003890e+05	(4.95122325157835e+01dB,6.65287468392904e+01°)
1.81970085860996e+05	(4.92385069757523e+01dB,6.53670419747374e+01°)
1.86208713666285e+05	(4.89612409730623e+01dB,6.42129999525817e+01°)
1.90546071796323e+05	(4.86804745636414e+01dB,6.30669647710110e+01°)
1.94984459975802e+05	(4.83962494793773e+01dB,6.19292704781041e+01°)
1.99526231496886e+05	(4.81086090584676e+01dB,6.08002407047928e+01°)
2.04173794466951e+05	(4.78175981695244e+01dB,5.96801882332737e+01°)
2.08929613085402e+05	(4.75232631317330e+01dB,5.85694145790609e+01°)
2.13796208950221e+05	(4.72256516291614e+01dB,5.74682096175911e+01°)
2.18776162394953e+05	(4.69248126218272e+01dB,5.63768512300623e+01°)
2.23872113856832e+05	(4.66207962515039e+01dB,5.52956050033880e+01°)
2.29086765276775e+05	(4.63136537454350e+01dB,5.42247239509694e+01°)
2.34422881531990e+05	(4.60034373160379e+01dB,5.31644482895120e+01°)
2.39883291901946e+05	(4.56902000583063e+01dB,5.21150052588027e+01°)
2.45470891568500e+05	(4.53739958461875e+01dB,5.10766089752770e+01°)
2.51188643150955e+05	(4.50548792266842e+01dB,5.00494603479503e+01°)
2.57039578276884e+05	(4.47329053142645e+01dB,4.90337470284645e+01°)
2.63026799189535e+05	(4.44081296843824e+01dB,4.80296434236259e+01°)
2.69153480392689e+05	(4.40806082687153e+01dB,4.70373107393512e+01°)
2.75422870333814e+05	(4.37503972511102e+01dB,4.60568970810125e+01°)
2.81838293126442e+05	(4.34175529649124e+01dB,4.50885376097650e+01°)
2.88403150312657e+05	(4.30821317944775e+01dB,4.41323547149722e+01°)
2.95120922666635e+05	(4.27441900778191e+01dB,4.31884582632301e+01°)
3.01995172040198e+05	(4.24037840141612e+01dB,4.22569458662235e+01°)
3.09029543251356e+05	(4.20609695750827e+01dB,4.13379031963366e+01°)
3.16227766016834e+05	(4.17158024201743e+01dB,4.04314043399310e+01°)
3.23593656929625e+05	(4.13683378180999e+01dB,3.95375121757591e+01°)
3.31131121482587e+05	(4.10186305724533e+01dB,3.86562787947827e+01°)
3.38844156139199e+05	(4.06667349537474e+01dB,3.77877459384955e+01°)
3.46736850452528e+05	(4.03127046369441e+01dB,3.69319454700433e+01°)
3.54813389233571e+05	(3.99565926457362e+01dB,3.60888998542233e+01°)
3.63078054770097e+05	(3.95984513025962e+01dB,3.52586226683242e+01°)
3.71535229097168e+05	(3.92383321858466e+01dB,3.44411191161837e+01°)
3.80189396320557e+05	(3.88762860932260e+01dB,3.36363865553381e+01°)
3.89045144994276e+05	(3.85123630119932e+01dB,3.28444150350363e+01°)
3.98107170553493e+05	(3.81466120960301e+01dB,3.20651878307995e+01°)
4.07380277804108e+05	(3.77790816494913e+01dB,3.12986819821820e+01°)
4.16869383470331e+05	(3.74098191171709e+01dB,3.05448688251034e+01°)
4.26579518801588e+05	(3.70388710813666e+01dB,2.98037145181658e+01°)
4.36515832240161e+05	(3.66662832652211e+01dB,2.90751805570373e+01°)
