time	V(vo)
4.592443329481118e-04	2.709340e+00
4.592470900503138e-04	2.708925e+00
4.592517954635529e-04	2.708153e+00
4.592566812348668e-04	2.707301e+00
4.592594189397298e-04	2.706811e+00
4.592628744508951e-04	2.706190e+00
4.592659912741159e-04	2.705630e+00
4.592696902244507e-04	2.704966e+00
4.592751395084500e-04	2.703988e+00
4.592821845130621e-04	2.702724e+00
4.592912896492225e-04	2.701088e+00
4.592981197536464e-04	2.699861e+00
4.593033264106693e-04	2.698925e+00
4.593089534394680e-04	2.697913e+00
4.593162256658196e-04	2.696605e+00
4.593239473788569e-04	2.695217e+00
4.593316435174406e-04	2.693835e+00
4.593418511880895e-04	2.692002e+00
4.593534184446240e-04	2.689927e+00
4.593690941500914e-04	2.687117e+00
4.593947062553418e-04	2.682533e+00
4.594216247378134e-04	2.677722e+00
4.594492345766460e-04	2.672796e+00
4.594792896632575e-04	2.667448e+00
4.595393998364803e-04	2.656780e+00
4.595839057275543e-04	2.648906e+00
4.596368241607581e-04	2.639578e+00
4.596988423698523e-04	2.628686e+00
4.597635945642599e-04	2.617357e+00
4.598049427299946e-04	2.610145e+00
4.598279418479059e-04	2.606144e+00
4.598483100134073e-04	2.602607e+00
4.598627504400005e-04	2.600101e+00
4.598699224877733e-04	2.598858e+00
4.598771000961820e-04	2.597615e+00
4.598848820688271e-04	2.596268e+00
4.599004460141173e-04	2.593576e+00
4.599092722578690e-04	2.592050e+00
4.599098756185255e-04	2.591947e+00
4.599110823398384e-04	2.591746e+00
4.599116696460785e-04	2.591650e+00
4.599120445821087e-04	2.591590e+00
4.599123408747043e-04	2.591542e+00
4.599126679217127e-04	2.591491e+00
4.599130435592527e-04	2.591432e+00
4.599134247823143e-04	2.591373e+00
4.599138168886537e-04	2.591313e+00
4.599142656479416e-04	2.591245e+00
4.599147521336946e-04	2.591173e+00
4.599153240741912e-04	2.591089e+00
4.599159929197678e-04	2.590993e+00
4.599167967136976e-04	2.590879e+00
4.599169195842866e-04	2.590862e+00
4.599171653254649e-04	2.590829e+00
4.599176568078212e-04	2.590762e+00
4.599183033240078e-04	2.590677e+00
4.599195963563808e-04	2.590513e+00
4.599221824211268e-04	2.590219e+00
4.599273545506189e-04	2.589740e+00
4.599354178592743e-04	2.589247e+00
4.599440996733967e-04	2.589074e+00
4.599550968871883e-04	2.589400e+00
4.599694784630237e-04	2.590562e+00
4.599855864905889e-04	2.592626e+00
4.600009028079240e-04	2.595146e+00
4.600108699895746e-04	2.597017e+00
4.600205303345260e-04	2.598947e+00
4.600313934514164e-04	2.601174e+00
4.600423119036965e-04	2.603449e+00
4.600529025099521e-04	2.605678e+00
4.600654054626399e-04	2.608322e+00
4.600780567196757e-04	2.611004e+00
4.600986569999858e-04	2.615372e+00
4.601201946579764e-04	2.619933e+00
4.601504820679982e-04	2.626329e+00
4.601994835318333e-04	2.636630e+00
4.602475529520365e-04	2.646662e+00
4.603436917924429e-04	2.666519e+00
4.604436917924429e-04	2.686921e+00
4.604982079481604e-04	2.697837e+00
4.605299635282145e-04	2.703976e+00
4.605506760033827e-04	2.707740e+00
4.605614847173178e-04	2.709486e+00
4.605703072517598e-04	2.710653e+00
4.605772479456147e-04	2.711349e+00
4.605821975550459e-04	2.711692e+00
4.605863676211791e-04	2.711871e+00
4.605899638871415e-04	2.711942e+00
4.605936320287936e-04	2.711934e+00
4.605970277283048e-04	2.711856e+00
4.606006114906637e-04	2.711698e+00
4.606043722772082e-04	2.711449e+00
4.606085109403446e-04	2.711077e+00
4.606132720116732e-04	2.710525e+00
4.606188740368377e-04	2.709722e+00
4.606259563055450e-04	2.708553e+00
4.606304875699615e-04	2.707754e+00
4.606346440003133e-04	2.707006e+00
4.606386934007828e-04	2.706279e+00
4.606432472040877e-04	2.705461e+00
4.606512967980606e-04	2.704016e+00
4.606607045109493e-04	2.702326e+00
4.606681368290133e-04	2.700990e+00
4.606756657635368e-04	2.699636e+00
4.606821594764554e-04	2.698468e+00
4.606887362606714e-04	2.697285e+00
4.606953744215063e-04	2.696091e+00
4.607022655578798e-04	2.694853e+00
4.607105807120182e-04	2.693360e+00
4.607272110202949e-04	2.690375e+00
