Freq.	V(a)
Step Information: Cl=1µ  (Step: 1/2)
1.25892541179416e+02	(5.71093551087584e+01dB,1.31353622503594e+02°)
1.28824955169313e+02	(5.69957198258310e+01dB,1.30698861854138e+02°)
1.31825673855640e+02	(5.68798323240671e+01dB,1.30046288838297e+02°)
1.34896288259165e+02	(5.67617090165381e+01dB,1.29396230517800e+02°)
1.38038426460288e+02	(5.66413684804106e+01dB,1.28749007429008e+02°)
1.41253754462275e+02	(5.65188313818574e+01dB,1.28104932836618e+02°)
1.44543977074592e+02	(5.63941203939452e+01dB,1.27464312029106e+02°)
1.47910838816820e+02	(5.62672601081302e+01dB,1.26827441659420e+02°)
1.51356124843620e+02	(5.61382769391048e+01dB,1.26194609142233e+02°)
1.54881661891247e+02	(5.60071990255507e+01dB,1.25566092094590e+02°)
1.58489319246110e+02	(5.58740561258230e+01dB,1.24942157836650e+02°)
1.62181009735892e+02	(5.57388795096681e+01dB,1.24323062951693e+02°)
1.65958690743755e+02	(5.56017018480304e+01dB,1.23709052894107e+02°)
1.69824365246173e+02	(5.54625571002883e+01dB,1.23100361658702e+02°)
1.73780082874936e+02	(5.53214803999772e+01dB,1.22497211508639e+02°)
1.77827941003891e+02	(5.51785079402397e+01dB,1.21899812756399e+02°)
1.81970085860997e+02	(5.50336768590780e+01dB,1.21308363602770e+02°)
1.86208713666286e+02	(5.48870251259026e+01dB,1.20723050023808e+02°)
1.90546071796323e+02	(5.47385914287936e+01dB,1.20144045716594e+02°)
1.94984459975803e+02	(5.45884150639984e+01dB,1.19571512091849e+02°)
1.99526231496887e+02	(5.44365358284675e+01dB,1.19005598307310e+02°)
2.04173794466952e+02	(5.42829939142804e+01dB,1.18446441357825e+02°)
2.08929613085403e+02	(5.41278298071593e+01dB,1.17894166199454e+02°)
2.13796208950222e+02	(5.39710841890978e+01dB,1.17348885907567e+02°)
2.18776162394954e+02	(5.38127978437891e+01dB,1.16810701886380e+02°)
2.23872113856832e+02	(5.36530115680323e+01dB,1.16279704090707e+02°)
2.29086765276776e+02	(5.34917660862972e+01dB,1.15755971294721e+02°)
2.34422881531991e+02	(5.33291019708235e+01dB,1.15239571376582e+02°)
2.39883291901947e+02	(5.31650595664670e+01dB,1.14730561627234e+02°)
